"","smokes","sex","friends","too_much_alkohol","martial_status","doing_sports","weight","income","goes_to_church","goes_to_cinema","goes_to_restaurant","drugs","law_breaking","job","class","age","education_level","unstable_income","strenuous_work","overloaded_at_work","unfair_work","income_stressful","hedonism"
"74598","1","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_no","_no","_yes","_no","_yes","_no"
"74599","1","female","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_yes","_no","_yes","_yes"
"74634","0","female","_many","_no","_married","_no","obesity","_3rd_quantile","_yes","_no","_yes","_no","_no","_no"," city less than 20 thou.","_below_40","_middle","_no","_no","_yes","_yes","_yes","_no"
"74640","0","female","_medium","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_below_40","_Higher","_no","_no","_yes","_yes","_yes","_yes"
"74642","0","male","_medium","_no","_married","_yes","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_Higher","_yes","_yes","_yes","_no","_yes","_no"
"74643","0","female","_medium","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_Higher","_yes","_yes","_yes","_yes","_yes","_no"
"74651","0","female","_medium","_yes","_married","_yes","_overweight","_4th_quantile","_no","_no","_yes","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"74662","1","female","_many","_no","_married","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74665","0","female","_medium","_no","_divorced/separated/widowed","_yes","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"74667","0","male","_small","_no","_single","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_yes","_yes","_no","_no","_yes","_no"
"74669","0","male","_small","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"74670","0","female","_small","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"74671","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74673","0","female","_small","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74674","0","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"74675","0","female","_small","_no","_single","_yes","_normal_weight","_2nd_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"74676","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74677","0","female","_small","_no","_married","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"74679","1","female","_medium","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_yes"
"74680","1","male","_medium","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_no","_yes","_yes","_no","_yes","_yes"
"74685","1","female","_small","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_Primary","_yes","_no","_no","_no","_yes","_yes"
"74695","0","female","_medium","_no","_divorced/separated/widowed","_yes","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74701","1","female","_medium","_no","_married","_no","_normal_weight","_2nd_quantile","_no","_yes","_no","_no","_no","_no"," city 20-100 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"74702","0","male","_many","_no","_single","_no","_normal_weight","_1st_quantile","_no","_yes","_no","_no","_no","_no"," city 20-100 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_yes"
"74703","1","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"74704","0","male","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_4th_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"74705","1","male","_small","_no","_married","_no","obesity","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 200-500 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74708","0","male","_small","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"74709","0","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74710","0","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74711","0","female","_small","_no","_married","_no","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"74729","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"74769","0","female","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_no","_yes","_yes","_yes","_yes","_no"
"74770","0","male","_small","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"74774","1","male","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_no","_no","_no","_yes"
"74775","1","female","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"74778","1","male","_medium","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"74780","1","male","_medium","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"74783","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_no","_yes"
"74784","1","male","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_no","_no","_yes","_no","_no","_yes"
"74785","1","male","_medium","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"74786","1","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_between_40_60","_Primary","_yes","_yes","_yes","_yes","_yes","_yes"
"74789","1","male","_small","_no","_single","_yes","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_no"," village","_below_40","_middle","_no","_no","_no","_no","_no","_yes"
"74792","0","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"74794","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"74802","0","female","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"74805","1","female","_many","_no","_divorced/separated/widowed","_yes","_normal_weight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"74812","1","male","_small","_no","_married","_no","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_no","_no","_no","_no","_no","_yes"
"74813","1","female","_medium","_no","_married","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_yes","_no","_yes"
"74814","1","male","_small","_no","_married","_no","obesity","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_no","_no","_no","_no","_no","_yes"
"74815","0","female","_small","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_no","_no","_no"
"74822","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_below_40","_Primary","_yes","_no","_no","_no","_yes","_yes"
"74827","1","male","_many","_no","_married","_yes","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_no","_no","_no","_yes","_no"
"74828","1","female","_small","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_yes","_yes","_yes","_no"
"74833","0","female","_small","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_middle","_no","_no","_no","_no","_no","_yes"
"74860","0","male","_small","_no","_single","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_middle","_no","_no","_no","_no","_yes","_yes"
"74863","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"74867","0","female","_small","_no","_single","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_no","_no","_no","_yes","_yes"
"74869","1","female","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"74871","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"74877","0","male","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"74879","0","female","_medium","_no","_single","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"74880","0","female","_medium","_no","_married","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_Primary","_no","_no","_no","_no","_yes","_no"
"74881","0","male","_small","_no","_married","_no","obesity","_1st_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74882","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"74884","1","male","_small","_no","_single","_no","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"74889","1","male","_many","_yes","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"74900","0","female","_small","_no","_married","_yes","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"74909","0","female","_many","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_no","_no","_no"
"74910","0","female","_medium","_no","_divorced/separated/widowed","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_yes"
"74919","0","female","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_no","_yes"
"74923","0","female","_small","_no","_single","_yes","_overweight","_2nd_quantile","_no","_no","_no","_yes","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_no","_no","_no","_no","_no","_yes"
"74927","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"74934","0","female","_medium","_no","_single","_no","_normal_weight","_4th_quantile","_no","_no","_no","_no","_yes","_no"," city 100-200 thou.","_between_40_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"74941","0","female","_medium","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"74952","0","female","_small","_no","_single","_yes","_normal_weight","_3rd_quantile","_yes","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_yes","_yes","_yes","_yes","_yes","_no"
"74959","0","female","_medium","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"74969","0","male","_many","_no","_married","_no","obesity","_4th_quantile","_no","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_yes","_no","_no","_no","_yes","_yes"
"74975","0","female","_small","_no","_single","_yes","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city 100-200 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_yes"
"74991","0","male","_medium","_no","_married","_no","_overweight","_4th_quantile","_no","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_yes","_yes","_yes","_yes","_yes","_no"
"74992","0","female","_medium","_no","_married","_yes","_normal_weight","_4th_quantile","_no","_no","_yes","_no","_yes","_yes"," city 100-200 thou.","_below_40","_Higher","_yes","_yes","_no","_yes","_yes","_no"
"75008","0","male","_medium","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"75009","0","female","_medium","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"75010","0","male","_medium","_no","_single","_yes","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"75011","0","male","_many","_no","_single","_yes","_normal_weight","_3rd_quantile","_no","_yes","_no","_no","_no","_yes"," village","_below_40","_Higher","_yes","_yes","_yes","_yes","_yes","_yes"
"75012","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"75014","0","male","_small","_no","_single","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_no"," village","_below_40","_middle","_no","_no","_no","_no","_no","_no"
"75015","0","male","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"75030","1","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_no","_yes","_no","_no","_no","_yes"
"75042","1","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"75048","0","female","_many","_no","_divorced/separated/widowed","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"75051","1","female","_many","_no","_single","_yes","_normal_weight","_3rd_quantile","_no","_yes","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_yes","_no","_yes"
"75056","1","male","_medium","_yes","_married","_no","_normal_weight","_4th_quantile","_no","_no","_no","_no","_no","_no"," village","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"75057","1","male","_small","_no","_married","_no","obesity","_4th_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"75058","1","female","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_no","_yes","_yes","_no"
"75059","1","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"75064","0","female","_small","_no","_married","_yes","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_above_60","_Primary","_yes","_yes","_yes","_yes","_yes","_no"
"75081","0","male","_many","_no","_married","_no","obesity","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"75084","1","male","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"75085","1","female","_small","_no","_single","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"75088","0","male","_many","_no","_married","_yes","obesity","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_no","_yes"
"75093","0","female","_small","_no","_married","_yes","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"75097","0","female","_medium","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_yes","_yes","_yes","_no","_yes","_yes"
"75098","0","male","_small","_no","_married","_yes","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"75099","1","female","_small","_no","_married","_yes","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_no","_no","_no","_no","_yes","_no"
"75101","0","male","_small","_no","_married","_no","obesity","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_yes"
"75102","0","female","_small","_no","_married","_no","obesity","_1st_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"75103","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"75110","1","male","_medium","_no","_married","_no","_overweight","_4th_quantile","_no","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_no","_no","_yes"
"75118","0","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_no","_no","_no","_no"
"75119","0","female","_medium","_no","_married","_yes","_normal_weight","_1st_quantile","_yes","_yes","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"75121","0","female","_many","_no","_divorced/separated/widowed","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"75126","0","male","_medium","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"75127","0","female","_medium","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"75129","1","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"75133","0","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"75134","0","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"75136","1","male","_small","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_between_40_60","_Higher","_yes","_yes","_yes","_yes","_yes","_no"
"75140","0","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"75141","1","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_no","_no"
"75142","0","male","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_yes"
"75143","0","female","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"75146","0","male","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"75174","1","female","_medium","_no","_divorced/separated/widowed","_yes","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"75179","0","male","_small","_no","_divorced/separated/widowed","_yes","_normal_weight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city less than 20 thou.","_below_40","_Primary","_yes","_yes","_yes","_no","_yes","_yes"
"75197","1","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_below_40","_middle","_no","_yes","_yes","_yes","_yes","_no"
"75198","1","female","_medium","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_no"
"75233","0","female","_many","_no","_single","_no","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_no"," village","_below_40","_middle","_yes","_yes","_yes","_no","_yes","_yes"
"75239","0","male","_many","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"75243","0","male","_many","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"75250","0","male","_medium","_no","_married","_no","obesity","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_no","_no","_yes","_no"
"75251","0","female","_medium","_no","_married","_no","_overweight","_1st_quantile","_yes","_yes","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_no","_no","_no","_yes","_no"
"75266","0","male","_medium","_yes","_single","_yes","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_no","_yes","_yes","_no"
"75267","1","male","_small","_yes","_married","_yes","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"75287","0","female","_small","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"75314","0","male","_small","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"75319","0","male","_many","_yes","_married","_yes","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"75326","0","female","_medium","_no","_single","_yes","_normal_weight","_2nd_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_no","_no","_no"
"75336","0","male","_many","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"75339","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_no","_no"
"75346","1","female","_many","_no","_single","_no","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_no","_no","_no","_no","_no"
"75348","1","male","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_yes","_yes","_yes","_no","_yes","_yes"
"75349","1","male","_medium","_no","_single","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_Primary","_yes","_yes","_yes","_yes","_yes","_yes"
"75359","0","male","_medium","_no","_divorced/separated/widowed","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"75361","1","female","_small","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"75362","0","female","_small","_no","_single","_yes","_overweight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_middle","_yes","_no","_yes","_no","_yes","_no"
